Segment,Country, Product , Discount Band , Units Sold , Manufacturing Price , Sale Price , Gross Sales , Discounts ,  Sales , COGS , Profit ,Date,Month Number, Month Name ,Year
Government,Germany, Montana , Low ,"$1,958.00 ",$5.00 ,$7.00 ,"$13,706.00 ",411.18,"$13,294.82 ","$9,790.00 ",3504.82,2/1/2014,2, February ,2014
Channel Partners,France, Montana , Low ,"$1,901.00 ",$5.00 ,$12.00 ,"$22,812.00 ",684.36,"$22,127.64 ","$5,703.00 ",16424.64,6/1/2014,6, June ,2014
Government,France, Montana , Low ,$544.00 ,$5.00 ,$7.00 ,"$3,808.00 ",114.24,"$3,693.76 ","$2,720.00 ",973.76,9/1/2014,9, September ,2014
Government,Germany, Montana , Low ,"$1,797.00 ",$5.00 ,$350.00 ,"$628,950.00 ",18868.5,"$610,081.50 ","$467,220.00 ",142861.5,9/1/2013,9, September ,2013
Enterprise,France, Montana , Low ,"$1,287.00 ",$5.00 ,$125.00 ,"$160,875.00 ",4826.25,"$156,048.75 ","$154,440.00 ",1608.75,12/1/2014,12, December ,2014
Enterprise,Germany, Montana , Low ,"$1,706.00 ",$5.00 ,$125.00 ,"$213,250.00 ",6397.5,"$206,852.50 ","$204,720.00 ",2132.5,12/1/2014,12, December ,2014
Small Business,France, Paseo , Low ,"$2,434.50 ",$10.00 ,$300.00 ,"$730,350.00 ",21910.5,"$708,439.50 ","$608,625.00 ",99814.5,1/1/2014,1, January ,2014
Enterprise,Canada, Paseo , Low ,"$1,774.00 ",$10.00 ,$125.00 ,"$221,750.00 ",6652.5,"$215,097.50 ","$212,880.00 ",2217.5,3/1/2014,3, March ,2014
Channel Partners,France, Paseo , Low ,"$1,901.00 ",$10.00 ,$12.00 ,"$22,812.00 ",684.36,"$22,127.64 ","$5,703.00 ",16424.64,6/1/2014,6, June ,2014
Small Business,Germany, Paseo , Low ,$689.00 ,$10.00 ,$300.00 ,"$206,700.00 ",6201,"$200,499.00 ","$172,250.00 ",28249,6/1/2014,6, June ,2014
Enterprise,Germany, Paseo , Low ,"$1,570.00 ",$10.00 ,$125.00 ,"$196,250.00 ",5887.5,"$190,362.50 ","$188,400.00 ",1962.5,6/1/2014,6, June ,2014
Channel Partners,United States of America, Paseo , Low ,"$1,369.50 ",$10.00 ,$12.00 ,"$16,434.00 ",493.02,"$15,940.98 ","$4,108.50 ",11832.48,7/1/2014,7, July ,2014
Enterprise,Canada, Paseo , Low ,"$2,009.00 ",$10.00 ,$125.00 ,"$251,125.00 ",7533.75,"$243,591.25 ","$241,080.00 ",2511.25,10/1/2014,10, October ,2014
Midmarket,Germany, Paseo , Low ,"$1,945.00 ",$10.00 ,$15.00 ,"$29,175.00 ",875.25,"$28,299.75 ","$19,450.00 ",8849.75,10/1/2013,10, October ,2013
Enterprise,France, Paseo , Low ,"$1,287.00 ",$10.00 ,$125.00 ,"$160,875.00 ",4826.25,"$156,048.75 ","$154,440.00 ",1608.75,12/1/2014,12, December ,2014
Enterprise,Germany, Paseo , Low ,"$1,706.00 ",$10.00 ,$125.00 ,"$213,250.00 ",6397.5,"$206,852.50 ","$204,720.00 ",2132.5,12/1/2014,12, December ,2014
Enterprise,Canada, Velo , Low ,"$2,009.00 ",$120.00 ,$125.00 ,"$251,125.00 ",7533.75,"$243,591.25 ","$241,080.00 ",2511.25,10/1/2014,10, October ,2014
Small Business,United States of America, VTT , Low ,"$2,844.00 ",$250.00 ,$300.00 ,"$853,200.00 ",25596,"$827,604.00 ","$711,000.00 ",116604,2/1/2014,2, February ,2014
Channel Partners,Mexico, VTT , Low ,"$1,916.00 ",$250.00 ,$12.00 ,"$22,992.00 ",689.76,"$22,302.24 ","$5,748.00 ",16554.24,4/1/2014,4, April ,2014
Enterprise,Germany, VTT , Low ,"$1,570.00 ",$250.00 ,$125.00 ,"$196,250.00 ",5887.5,"$190,362.50 ","$188,400.00 ",1962.5,6/1/2014,6, June ,2014
Small Business,Canada, VTT , Low ,"$1,874.00 ",$250.00 ,$300.00 ,"$562,200.00 ",16866,"$545,334.00 ","$468,500.00 ",76834,8/1/2014,8, August ,2014
Government,Mexico, VTT , Low ,"$1,642.00 ",$250.00 ,$350.00 ,"$574,700.00 ",17241,"$557,459.00 ","$426,920.00 ",130539,8/1/2014,8, August ,2014
Midmarket,Germany, VTT , Low ,"$1,945.00 ",$250.00 ,$15.00 ,"$29,175.00 ",875.25,"$28,299.75 ","$19,450.00 ",8849.75,10/1/2013,10, October ,2013
Government,Canada, Carretera , Low ,$831.00 ,$3.00 ,$20.00 ,"$16,620.00 ",498.6,"$16,121.40 ","$8,310.00 ",7811.4,5/1/2014,5, May ,2014
Government,Mexico, Paseo , Low ,"$1,760.00 ",$10.00 ,$7.00 ,"$12,320.00 ",369.6,"$11,950.40 ","$8,800.00 ",3150.4,9/1/2013,9, September ,2013
Government,Canada, Velo , Low ,"$3,850.50 ",$120.00 ,$20.00 ,"$77,010.00 ",2310.3,"$74,699.70 ","$38,505.00 ",36194.7,4/1/2014,4, April ,2014
Channel Partners,Germany, VTT , Low ,"$2,479.00 ",$250.00 ,$12.00 ,"$29,748.00 ",892.44,"$28,855.56 ","$7,437.00 ",21418.56,1/1/2014,1, January ,2014
Midmarket,Mexico, Montana , Low ,"$2,031.00 ",$5.00 ,$15.00 ,"$30,465.00 ",1218.6,"$29,246.40 ","$20,310.00 ",8936.4,10/1/2014,10, October ,2014
Midmarket,Mexico, Paseo , Low ,"$2,031.00 ",$10.00 ,$15.00 ,"$30,465.00 ",1218.6,"$29,246.40 ","$20,310.00 ",8936.4,10/1/2014,10, October ,2014
Midmarket,France, Paseo , Low ,"$2,261.00 ",$10.00 ,$15.00 ,"$33,915.00 ",1356.6,"$32,558.40 ","$22,610.00 ",9948.4,12/1/2013,12, December ,2013
Government,United States of America, Velo , Low ,$736.00 ,$120.00 ,$20.00 ,"$14,720.00 ",588.8,"$14,131.20 ","$7,360.00 ",6771.2,9/1/2013,9, September ,2013
Government,Canada, Carretera , Low ,"$2,851.00 ",$3.00 ,$7.00 ,"$19,957.00 ",798.28,"$19,158.72 ","$14,255.00 ",4903.72,10/1/2013,10, October ,2013
Small Business,Germany, Carretera , Low ,"$2,021.00 ",$3.00 ,$300.00 ,"$606,300.00 ",24252,"$582,048.00 ","$505,250.00 ",76798,10/1/2014,10, October ,2014
Government,United States of America, Carretera , Low ,$274.00 ,$3.00 ,$350.00 ,"$95,900.00 ",3836,"$92,064.00 ","$71,240.00 ",20824,12/1/2014,12, December ,2014
Midmarket,Canada, Montana , Low ,"$1,967.00 ",$5.00 ,$15.00 ,"$29,505.00 ",1180.2,"$28,324.80 ","$19,670.00 ",8654.8,3/1/2014,3, March ,2014
Small Business,Germany, Montana , Low ,"$1,859.00 ",$5.00 ,$300.00 ,"$557,700.00 ",22308,"$535,392.00 ","$464,750.00 ",70642,8/1/2014,8, August ,2014
Government,Canada, Montana , Low ,"$2,851.00 ",$5.00 ,$7.00 ,"$19,957.00 ",798.28,"$19,158.72 ","$14,255.00 ",4903.72,10/1/2013,10, October ,2013
Small Business,Germany, Montana , Low ,"$2,021.00 ",$5.00 ,$300.00 ,"$606,300.00 ",24252,"$582,048.00 ","$505,250.00 ",76798,10/1/2014,10, October ,2014
Enterprise,Mexico, Montana , Low ,"$1,138.00 ",$5.00 ,$125.00 ,"$142,250.00 ",5690,"$136,560.00 ","$136,560.00 ", $-   ,12/1/2014,12, December ,2014
Government,Canada, Paseo , Low ,"$4,251.00 ",$10.00 ,$7.00 ,"$29,757.00 ",1190.28,"$28,566.72 ","$21,255.00 ",7311.72,1/1/2014,1, January ,2014
Enterprise,Germany, Paseo , Low ,$795.00 ,$10.00 ,$125.00 ,"$99,375.00 ",3975,"$95,400.00 ","$95,400.00 ", $-   ,3/1/2014,3, March ,2014
Small Business,Germany, Paseo , Low ,"$1,414.50 ",$10.00 ,$300.00 ,"$424,350.00 ",16974,"$407,376.00 ","$353,625.00 ",53751,4/1/2014,4, April ,2014
Small Business,United States of America, Paseo , Low ,"$2,918.00 ",$10.00 ,$300.00 ,"$875,400.00 ",35016,"$840,384.00 ","$729,500.00 ",110884,5/1/2014,5, May ,2014
Government,United States of America, Paseo , Low ,"$3,450.00 ",$10.00 ,$350.00 ,"$1,207,500.00 ",48300,"$1,159,200.00 ","$897,000.00 ",262200,7/1/2014,7, July ,2014
Enterprise,France, Paseo , Low ,"$2,988.00 ",$10.00 ,$125.00 ,"$373,500.00 ",14940,"$358,560.00 ","$358,560.00 ", $-   ,7/1/2014,7, July ,2014
Midmarket,Canada, Paseo , Low ,$218.00 ,$10.00 ,$15.00 ,"$3,270.00 ",130.8,"$3,139.20 ","$2,180.00 ",959.2,9/1/2014,9, September ,2014
Government,Canada, Paseo , Low ,"$2,074.00 ",$10.00 ,$20.00 ,"$41,480.00 ",1659.2,"$39,820.80 ","$20,740.00 ",19080.8,9/1/2014,9, September ,2014
Government,United States of America, Paseo , Low ,"$1,056.00 ",$10.00 ,$20.00 ,"$21,120.00 ",844.8,"$20,275.20 ","$10,560.00 ",9715.2,9/1/2014,9, September ,2014
Midmarket,United States of America, Paseo , Low ,$671.00 ,$10.00 ,$15.00 ,"$10,065.00 ",402.6,"$9,662.40 ","$6,710.00 ",2952.4,10/1/2013,10, October ,2013
Midmarket,Mexico, Paseo , Low ,"$1,514.00 ",$10.00 ,$15.00 ,"$22,710.00 ",908.4,"$21,801.60 ","$15,140.00 ",6661.6,10/1/2013,10, October ,2013
Government,United States of America, Paseo , Low ,$274.00 ,$10.00 ,$350.00 ,"$95,900.00 ",3836,"$92,064.00 ","$71,240.00 ",20824,12/1/2014,12, December ,2014
Enterprise,Mexico, Paseo , Low ,"$1,138.00 ",$10.00 ,$125.00 ,"$142,250.00 ",5690,"$136,560.00 ","$136,560.00 ", $-   ,12/1/2014,12, December ,2014
Channel Partners,United States of America, Velo , Low ,"$1,465.00 ",$120.00 ,$12.00 ,"$17,580.00 ",703.2,"$16,876.80 ","$4,395.00 ",12481.8,3/1/2014,3, March ,2014
Government,Canada, Velo , Low ,"$2,646.00 ",$120.00 ,$20.00 ,"$52,920.00 ",2116.8,"$50,803.20 ","$26,460.00 ",24343.2,9/1/2013,9, September ,2013
Government,France, Velo , Low ,"$2,177.00 ",$120.00 ,$350.00 ,"$761,950.00 ",30478,"$731,472.00 ","$566,020.00 ",165452,10/1/2014,10, October ,2014
Channel Partners,France, VTT , Low ,$866.00 ,$250.00 ,$12.00 ,"$10,392.00 ",415.68,"$9,976.32 ","$2,598.00 ",7378.32,5/1/2014,5, May ,2014
Government,United States of America, VTT , Low ,$349.00 ,$250.00 ,$350.00 ,"$122,150.00 ",4886,"$117,264.00 ","$90,740.00 ",26524,9/1/2013,9, September ,2013
Government,France, VTT , Low ,"$2,177.00 ",$250.00 ,$350.00 ,"$761,950.00 ",30478,"$731,472.00 ","$566,020.00 ",165452,10/1/2014,10, October ,2014
Midmarket,Mexico, VTT , Low ,"$1,514.00 ",$250.00 ,$15.00 ,"$22,710.00 ",908.4,"$21,801.60 ","$15,140.00 ",6661.6,10/1/2013,10, October ,2013
Government,Mexico, Amarilla , Low ,"$1,865.00 ",$260.00 ,$350.00 ,"$652,750.00 ",26110,"$626,640.00 ","$484,900.00 ",141740,2/1/2014,2, February ,2014
Enterprise,Mexico, Amarilla , Low ,"$1,074.00 ",$260.00 ,$125.00 ,"$134,250.00 ",5370,"$128,880.00 ","$128,880.00 ", $-   ,4/1/2014,4, April ,2014
Government,Germany, Amarilla , Low ,"$1,907.00 ",$260.00 ,$350.00 ,"$667,450.00 ",26698,"$640,752.00 ","$495,820.00 ",144932,9/1/2014,9, September ,2014
Midmarket,United States of America, Amarilla , Low ,$671.00 ,$260.00 ,$15.00 ,"$10,065.00 ",402.6,"$9,662.40 ","$6,710.00 ",2952.4,10/1/2013,10, October ,2013
Government,Canada, Amarilla , Low ,"$1,778.00 ",$260.00 ,$350.00 ,"$622,300.00 ",24892,"$597,408.00 ","$462,280.00 ",135128,12/1/2013,12, December ,2013
Government,Germany, Montana , Medium ,"$1,159.00 ",$5.00 ,$7.00 ,"$8,113.00 ",405.65,"$7,707.35 ","$5,795.00 ",1912.35,10/1/2013,10, October ,2013
Government,Germany, Paseo , Medium ,"$1,372.00 ",$10.00 ,$7.00 ,"$9,604.00 ",480.2,"$9,123.80 ","$6,860.00 ",2263.8,1/1/2014,1, January ,2014
Government,Canada, Paseo , Medium ,"$2,349.00 ",$10.00 ,$7.00 ,"$16,443.00 ",822.15,"$15,620.85 ","$11,745.00 ",3875.85,9/1/2013,9, September ,2013
Government,Mexico, Paseo , Medium ,"$2,689.00 ",$10.00 ,$7.00 ,"$18,823.00 ",941.15,"$17,881.85 ","$13,445.00 ",4436.85,10/1/2014,10, October ,2014
Channel Partners,Canada, Paseo , Medium ,"$2,431.00 ",$10.00 ,$12.00 ,"$29,172.00 ",1458.6,"$27,713.40 ","$7,293.00 ",20420.4,12/1/2014,12, December ,2014
Channel Partners,Canada, Velo , Medium ,"$2,431.00 ",$120.00 ,$12.00 ,"$29,172.00 ",1458.6,"$27,713.40 ","$7,293.00 ",20420.4,12/1/2014,12, December ,2014
Government,Mexico, VTT , Medium ,"$2,689.00 ",$250.00 ,$7.00 ,"$18,823.00 ",941.15,"$17,881.85 ","$13,445.00 ",4436.85,10/1/2014,10, October ,2014
Government,Mexico, Amarilla , Medium ,"$1,683.00 ",$260.00 ,$7.00 ,"$11,781.00 ",589.05,"$11,191.95 ","$8,415.00 ",2776.95,7/1/2014,7, July ,2014
Channel Partners,Mexico, Amarilla , Medium ,"$1,123.00 ",$260.00 ,$12.00 ,"$13,476.00 ",673.8,"$12,802.20 ","$3,369.00 ",9433.2,8/1/2014,8, August ,2014
Government,Germany, Amarilla , Medium ,"$1,159.00 ",$260.00 ,$7.00 ,"$8,113.00 ",405.65,"$7,707.35 ","$5,795.00 ",1912.35,10/1/2013,10, October ,2013
Channel Partners,France, Carretera , Medium ,"$1,865.00 ",$3.00 ,$12.00 ,"$22,380.00 ",1119,"$21,261.00 ","$5,595.00 ",15666,2/1/2014,2, February ,2014
Channel Partners,Germany, Carretera , Medium ,"$1,116.00 ",$3.00 ,$12.00 ,"$13,392.00 ",669.6,"$12,722.40 ","$3,348.00 ",9374.4,2/1/2014,2, February ,2014
Government,France, Carretera , Medium ,"$1,563.00 ",$3.00 ,$20.00 ,"$31,260.00 ",1563,"$29,697.00 ","$15,630.00 ",14067,5/1/2014,5, May ,2014
Small Business,United States of America, Carretera , Medium ,$991.00 ,$3.00 ,$300.00 ,"$297,300.00 ",14865,"$282,435.00 ","$247,750.00 ",34685,6/1/2014,6, June ,2014
Government,Germany, Carretera , Medium ,"$1,016.00 ",$3.00 ,$7.00 ,"$7,112.00 ",355.6,"$6,756.40 ","$5,080.00 ",1676.4,11/1/2013,11, November ,2013
Midmarket,Mexico, Carretera , Medium ,"$2,791.00 ",$3.00 ,$15.00 ,"$41,865.00 ",2093.25,"$39,771.75 ","$27,910.00 ",11861.75,11/1/2014,11, November ,2014
Government,United States of America, Carretera , Medium ,$570.00 ,$3.00 ,$7.00 ,"$3,990.00 ",199.5,"$3,790.50 ","$2,850.00 ",940.5,12/1/2014,12, December ,2014
Government,France, Carretera , Medium ,"$2,487.00 ",$3.00 ,$7.00 ,"$17,409.00 ",870.45,"$16,538.55 ","$12,435.00 ",4103.55,12/1/2014,12, December ,2014
Government,France, Montana , Medium ,"$1,384.50 ",$5.00 ,$350.00 ,"$484,575.00 ",24228.75,"$460,346.25 ","$359,970.00 ",100376.25,1/1/2014,1, January ,2014
Enterprise,United States of America, Montana , Medium ,"$3,627.00 ",$5.00 ,$125.00 ,"$453,375.00 ",22668.75,"$430,706.25 ","$435,240.00 ",-4533.75,7/1/2014,7, July ,2014
Government,Mexico, Montana , Medium ,$720.00 ,$5.00 ,$350.00 ,"$252,000.00 ",12600,"$239,400.00 ","$187,200.00 ",52200,9/1/2013,9, September ,2013
Channel Partners,Germany, Montana , Medium ,"$2,342.00 ",$5.00 ,$12.00 ,"$28,104.00 ",1405.2,"$26,698.80 ","$7,026.00 ",19672.8,11/1/2014,11, November ,2014
Small Business,Mexico, Montana , Medium ,"$1,100.00 ",$5.00 ,$300.00 ,"$330,000.00 ",16500,"$313,500.00 ","$275,000.00 ",38500,12/1/2013,12, December ,2013
Government,France, Paseo , Medium ,"$1,303.00 ",$10.00 ,$20.00 ,"$26,060.00 ",1303,"$24,757.00 ","$13,030.00 ",11727,2/1/2014,2, February ,2014
Enterprise,United States of America, Paseo , Medium ,"$2,992.00 ",$10.00 ,$125.00 ,"$374,000.00 ",18700,"$355,300.00 ","$359,040.00 ",-3740,3/1/2014,3, March ,2014
Enterprise,France, Paseo , Medium ,"$2,385.00 ",$10.00 ,$125.00 ,"$298,125.00 ",14906.25,"$283,218.75 ","$286,200.00 ",-2981.25,3/1/2014,3, March ,2014
Small Business,Mexico, Paseo , Medium ,"$1,607.00 ",$10.00 ,$300.00 ,"$482,100.00 ",24105,"$457,995.00 ","$401,750.00 ",56245,4/1/2014,4, April ,2014
Government,United States of America, Paseo , Medium ,"$2,327.00 ",$10.00 ,$7.00 ,"$16,289.00 ",814.45,"$15,474.55 ","$11,635.00 ",3839.55,5/1/2014,5, May ,2014
Small Business,United States of America, Paseo , Medium ,$991.00 ,$10.00 ,$300.00 ,"$297,300.00 ",14865,"$282,435.00 ","$247,750.00 ",34685,6/1/2014,6, June ,2014
Government,United States of America, Paseo , Medium ,$602.00 ,$10.00 ,$350.00 ,"$210,700.00 ",10535,"$200,165.00 ","$156,520.00 ",43645,6/1/2014,6, June ,2014
Midmarket,France, Paseo , Medium ,"$2,620.00 ",$10.00 ,$15.00 ,"$39,300.00 ",1965,"$37,335.00 ","$26,200.00 ",11135,9/1/2014,9, September ,2014
Government,Canada, Paseo , Medium ,"$1,228.00 ",$10.00 ,$350.00 ,"$429,800.00 ",21490,"$408,310.00 ","$319,280.00 ",89030,10/1/2013,10, October ,2013
Government,Canada, Paseo , Medium ,"$1,389.00 ",$10.00 ,$20.00 ,"$27,780.00 ",1389,"$26,391.00 ","$13,890.00 ",12501,10/1/2013,10, October ,2013
Enterprise,United States of America, Paseo , Medium ,$861.00 ,$10.00 ,$125.00 ,"$107,625.00 ",5381.25,"$102,243.75 ","$103,320.00 ",-1076.25,10/1/2014,10, October ,2014
Enterprise,France, Paseo , Medium ,$704.00 ,$10.00 ,$125.00 ,"$88,000.00 ",4400,"$83,600.00 ","$84,480.00 ",-880,10/1/2013,10, October ,2013
Government,Canada, Paseo , Medium ,"$1,802.00 ",$10.00 ,$20.00 ,"$36,040.00 ",1802,"$34,238.00 ","$18,020.00 ",16218,12/1/2013,12, December ,2013
Government,United States of America, Paseo , Medium ,"$2,663.00 ",$10.00 ,$20.00 ,"$53,260.00 ",2663,"$50,597.00 ","$26,630.00 ",23967,12/1/2014,12, December ,2014
Government,France, Paseo , Medium ,"$2,136.00 ",$10.00 ,$7.00 ,"$14,952.00 ",747.6,"$14,204.40 ","$10,680.00 ",3524.4,12/1/2013,12, December ,2013
Midmarket,Germany, Paseo , Medium ,"$2,116.00 ",$10.00 ,$15.00 ,"$31,740.00 ",1587,"$30,153.00 ","$21,160.00 ",8993,12/1/2013,12, December ,2013
Midmarket,United States of America, Velo , Medium ,$555.00 ,$120.00 ,$15.00 ,"$8,325.00 ",416.25,"$7,908.75 ","$5,550.00 ",2358.75,1/1/2014,1, January ,2014
Midmarket,Mexico, Velo , Medium ,"$2,861.00 ",$120.00 ,$15.00 ,"$42,915.00 ",2145.75,"$40,769.25 ","$28,610.00 ",12159.25,1/1/2014,1, January ,2014
Enterprise,Germany, Velo , Medium ,$807.00 ,$120.00 ,$125.00 ,"$100,875.00 ",5043.75,"$95,831.25 ","$96,840.00 ",-1008.75,2/1/2014,2, February ,2014
Government,United States of America, Velo , Medium ,$602.00 ,$120.00 ,$350.00 ,"$210,700.00 ",10535,"$200,165.00 ","$156,520.00 ",43645,6/1/2014,6, June ,2014
Government,United States of America, Velo , Medium ,"$2,832.00 ",$120.00 ,$20.00 ,"$56,640.00 ",2832,"$53,808.00 ","$28,320.00 ",25488,8/1/2014,8, August ,2014
Government,France, Velo , Medium ,"$1,579.00 ",$120.00 ,$20.00 ,"$31,580.00 ",1579,"$30,001.00 ","$15,790.00 ",14211,8/1/2014,8, August ,2014
Enterprise,United States of America, Velo , Medium ,$861.00 ,$120.00 ,$125.00 ,"$107,625.00 ",5381.25,"$102,243.75 ","$103,320.00 ",-1076.25,10/1/2014,10, October ,2014
Enterprise,France, Velo , Medium ,$704.00 ,$120.00 ,$125.00 ,"$88,000.00 ",4400,"$83,600.00 ","$84,480.00 ",-880,10/1/2013,10, October ,2013
Government,France, Velo , Medium ,"$1,033.00 ",$120.00 ,$20.00 ,"$20,660.00 ",1033,"$19,627.00 ","$10,330.00 ",9297,12/1/2013,12, December ,2013
Small Business,Germany, Velo , Medium ,"$1,250.00 ",$120.00 ,$300.00 ,"$375,000.00 ",18750,"$356,250.00 ","$312,500.00 ",43750,12/1/2014,12, December ,2014
Government,Canada, VTT , Medium ,"$1,389.00 ",$250.00 ,$20.00 ,"$27,780.00 ",1389,"$26,391.00 ","$13,890.00 ",12501,10/1/2013,10, October ,2013
Government,United States of America, VTT , Medium ,"$1,265.00 ",$250.00 ,$20.00 ,"$25,300.00 ",1265,"$24,035.00 ","$12,650.00 ",11385,11/1/2013,11, November ,2013
Government,Germany, VTT , Medium ,"$2,297.00 ",$250.00 ,$20.00 ,"$45,940.00 ",2297,"$43,643.00 ","$22,970.00 ",20673,11/1/2013,11, November ,2013
Government,United States of America, VTT , Medium ,"$2,663.00 ",$250.00 ,$20.00 ,"$53,260.00 ",2663,"$50,597.00 ","$26,630.00 ",23967,12/1/2014,12, December ,2014
Government,United States of America, VTT , Medium ,$570.00 ,$250.00 ,$7.00 ,"$3,990.00 ",199.5,"$3,790.50 ","$2,850.00 ",940.5,12/1/2014,12, December ,2014
Government,France, VTT , Medium ,"$2,487.00 ",$250.00 ,$7.00 ,"$17,409.00 ",870.45,"$16,538.55 ","$12,435.00 ",4103.55,12/1/2014,12, December ,2014
Government,Germany, Amarilla , Medium ,"$1,350.00 ",$260.00 ,$350.00 ,"$472,500.00 ",23625,"$448,875.00 ","$351,000.00 ",97875,2/1/2014,2, February ,2014
Government,Canada, Amarilla , Medium ,$552.00 ,$260.00 ,$350.00 ,"$193,200.00 ",9660,"$183,540.00 ","$143,520.00 ",40020,8/1/2014,8, August ,2014
Government,Canada, Amarilla , Medium ,"$1,228.00 ",$260.00 ,$350.00 ,"$429,800.00 ",21490,"$408,310.00 ","$319,280.00 ",89030,10/1/2013,10, October ,2013
Small Business,Germany, Amarilla , Medium ,"$1,250.00 ",$260.00 ,$300.00 ,"$375,000.00 ",18750,"$356,250.00 ","$312,500.00 ",43750,12/1/2014,12, December ,2014
Midmarket,France, Paseo , Medium ,"$3,801.00 ",$10.00 ,$15.00 ,"$57,015.00 ",3420.9,"$53,594.10 ","$38,010.00 ",15584.1,4/1/2014,4, April ,2014
Government,United States of America, Carretera , Medium ,"$1,117.50 ",$3.00 ,$20.00 ,"$22,350.00 ",1341,"$21,009.00 ","$11,175.00 ",9834,1/1/2014,1, January ,2014
Midmarket,Canada, Carretera , Medium ,"$2,844.00 ",$3.00 ,$15.00 ,"$42,660.00 ",2559.6,"$40,100.40 ","$28,440.00 ",11660.4,6/1/2014,6, June ,2014
Channel Partners,Mexico, Carretera , Medium ,$562.00 ,$3.00 ,$12.00 ,"$6,744.00 ",404.64,"$6,339.36 ","$1,686.00 ",4653.36,9/1/2014,9, September ,2014
Channel Partners,Canada, Carretera , Medium ,"$2,299.00 ",$3.00 ,$12.00 ,"$27,588.00 ",1655.28,"$25,932.72 ","$6,897.00 ",19035.72,10/1/2013,10, October ,2013
Midmarket,United States of America, Carretera , Medium ,"$2,030.00 ",$3.00 ,$15.00 ,"$30,450.00 ",1827,"$28,623.00 ","$20,300.00 ",8323,11/1/2014,11, November ,2014
Government,United States of America, Carretera , Medium ,$263.00 ,$3.00 ,$7.00 ,"$1,841.00 ",110.46,"$1,730.54 ","$1,315.00 ",415.54,11/1/2013,11, November ,2013
Enterprise,Germany, Carretera , Medium ,$887.00 ,$3.00 ,$125.00 ,"$110,875.00 ",6652.5,"$104,222.50 ","$106,440.00 ",-2217.5,12/1/2013,12, December ,2013
Government,Mexico, Montana , Medium ,$980.00 ,$5.00 ,$350.00 ,"$343,000.00 ",20580,"$322,420.00 ","$254,800.00 ",67620,4/1/2014,4, April ,2014
Government,Germany, Montana , Medium ,"$1,460.00 ",$5.00 ,$350.00 ,"$511,000.00 ",30660,"$480,340.00 ","$379,600.00 ",100740,5/1/2014,5, May ,2014
Government,France, Montana , Medium ,"$1,403.00 ",$5.00 ,$7.00 ,"$9,821.00 ",589.26,"$9,231.74 ","$7,015.00 ",2216.74,10/1/2013,10, October ,2013
Channel Partners,United States of America, Montana , Medium ,"$2,723.00 ",$5.00 ,$12.00 ,"$32,676.00 ",1960.56,"$30,715.44 ","$8,169.00 ",22546.44,11/1/2014,11, November ,2014
Government,France, Paseo , Medium ,"$1,496.00 ",$10.00 ,$350.00 ,"$523,600.00 ",31416,"$492,184.00 ","$388,960.00 ",103224,6/1/2014,6, June ,2014
Channel Partners,Canada, Paseo , Medium ,"$2,299.00 ",$10.00 ,$12.00 ,"$27,588.00 ",1655.28,"$25,932.72 ","$6,897.00 ",19035.72,10/1/2013,10, October ,2013
Government,United States of America, Paseo , Medium ,$727.00 ,$10.00 ,$350.00 ,"$254,450.00 ",15267,"$239,183.00 ","$189,020.00 ",50163,10/1/2013,10, October ,2013
Enterprise,Canada, Velo , Medium ,$952.00 ,$120.00 ,$125.00 ,"$119,000.00 ",7140,"$111,860.00 ","$114,240.00 ",-2380,2/1/2014,2, February ,2014
Enterprise,United States of America, Velo , Medium ,"$2,755.00 ",$120.00 ,$125.00 ,"$344,375.00 ",20662.5,"$323,712.50 ","$330,600.00 ",-6887.5,2/1/2014,2, February ,2014
Midmarket,Germany, Velo , Medium ,"$1,530.00 ",$120.00 ,$15.00 ,"$22,950.00 ",1377,"$21,573.00 ","$15,300.00 ",6273,5/1/2014,5, May ,2014
Government,France, Velo , Medium ,"$1,496.00 ",$120.00 ,$350.00 ,"$523,600.00 ",31416,"$492,184.00 ","$388,960.00 ",103224,6/1/2014,6, June ,2014
Government,Mexico, Velo , Medium ,"$1,498.00 ",$120.00 ,$7.00 ,"$10,486.00 ",629.16,"$9,856.84 ","$7,490.00 ",2366.84,6/1/2014,6, June ,2014
Small Business,France, Velo , Medium ,"$1,221.00 ",$120.00 ,$300.00 ,"$366,300.00 ",21978,"$344,322.00 ","$305,250.00 ",39072,10/1/2013,10, October ,2013
Government,France, Velo , Medium ,"$2,076.00 ",$120.00 ,$350.00 ,"$726,600.00 ",43596,"$683,004.00 ","$539,760.00 ",143244,10/1/2013,10, October ,2013
Midmarket,Canada, VTT , Medium ,"$2,844.00 ",$250.00 ,$15.00 ,"$42,660.00 ",2559.6,"$40,100.40 ","$28,440.00 ",11660.4,6/1/2014,6, June ,2014
Government,Mexico, VTT , Medium ,"$1,498.00 ",$250.00 ,$7.00 ,"$10,486.00 ",629.16,"$9,856.84 ","$7,490.00 ",2366.84,6/1/2014,6, June ,2014
Small Business,France, VTT , Medium ,"$1,221.00 ",$250.00 ,$300.00 ,"$366,300.00 ",21978,"$344,322.00 ","$305,250.00 ",39072,10/1/2013,10, October ,2013
Government,Mexico, VTT , Medium ,"$1,123.00 ",$250.00 ,$20.00 ,"$22,460.00 ",1347.6,"$21,112.40 ","$11,230.00 ",9882.4,11/1/2013,11, November ,2013
